S.No,Country,ISO3,Region,Currency,PIOs,NRIs,Total Diaspora,NRI %,PIO %,Baseline Remittance (USD),Baseline Remittance (INR Crores),DEPI Score,Narrative
1,Afghanistan,AFG,Asia-Pacific,USD,167,2,169,1.2,98.8,17115,0.15,29.3,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
2,Albania,ALB,Europe,USD,4,550,554,99.3,0.7,2860180,24.74,67.6,Predominantly active NRI professional and employment community with high direct financial linkage to India.
3,Algeria,DZA,Africa,USD,4052,28,4080,0.7,99.3,271940,2.35,39.0,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
4,Andorra,AND,Europe,EUR,200,50,250,20.0,80.0,269000,2.33,41.2,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
5,Angola,AGO,Africa,USD,62,7905,7967,99.2,0.8,25298790,218.83,75.5,Predominantly active NRI professional and employment community with high direct financial linkage to India.
6,Antigua & Barbuda,ATG,Latin America & Caribbean,USD,200,300,500,60.0,40.0,609000,5.27,53.8,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
7,Argentina,ARG,Latin America & Caribbean,USD,1800,800,2600,30.8,69.2,1681000,14.54,50.6,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
8,Armenia,ARM,Europe,USD,21,7540,7561,99.7,0.3,39208945,339.16,76.6,"Rapidly expanding higher education and medical student hub, accompanied by emerging trade and technical services."
9,Aruba,ABW,Latin America & Caribbean,USD,400,600,1000,60.0,40.0,1218000,10.54,56.2,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
10,Australia,AUS,Asia-Pacific,AUD,719897,125903,845800,14.9,85.1,4850000000,41952.5,71.8,"High-income STEM, medical, finance, and corporate management corridor. Generates large per-capita transfers, venture funding, and wealth deposits."
11,Austria,AUT,Europe,EUR,18500,13439,31939,42.1,57.9,70715300,611.69,65.0,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
12,Azerbaijan,AZE,Europe,USD,78,610,688,88.7,11.3,3175510,27.47,65.4,Predominantly active NRI professional and employment community with high direct financial linkage to India.
13,Bahamas,BHS,Latin America & Caribbean,USD,20,330,350,94.3,5.7,660900,5.72,62.3,Predominantly active NRI professional and employment community with high direct financial linkage to India.
14,Bahrain,BHR,GCC & Middle East,BHD,4799,315427,320226,98.5,1.5,1800000000,15570.0,89.3,Major Gulf labor and trade corridor; 99% NRI workforce with exceptionally high remittance frequency for family maintenance and NRE bank deposits.
15,Bangladesh,BGD,Asia-Pacific,USD,10,8550,8560,99.9,0.1,41040450,355.0,76.9,Predominantly active NRI professional and employment community with high direct financial linkage to India.
16,Barbados,BRB,Latin America & Caribbean,USD,3550,525,4075,12.9,87.1,1209750,10.46,45.7,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
17,Belarus,BLR,Europe,USD,151,1375,1526,90.1,9.9,7156795,61.91,68.5,Predominantly active NRI professional and employment community with high direct financial linkage to India.
18,Belgium,BEL,Europe,EUR,19201,18958,38159,49.7,50.3,420000000,3633.0,71.5,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
19,Belize,BLZ,Latin America & Caribbean,USD,528,275,803,34.2,65.8,573760,4.96,47.7,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
20,Benin,BEN,Africa,USD,18,2500,2518,99.3,0.7,8000810,69.21,71.6,Predominantly active NRI professional and employment community with high direct financial linkage to India.
21,Bhutan,BTN,Asia-Pacific,USD,0,50000,50000,100.0,0.0,240000000,2076.0,83.0,Predominantly active NRI professional and employment community with high direct financial linkage to India.
22,Bolivia,BOL,Latin America & Caribbean,USD,12,40,52,76.9,23.1,80540,0.7,50.9,Predominantly active NRI professional and employment community with high direct financial linkage to India.
23,Bonaire & Smaller Islands,BES,Latin America & Caribbean,USD,12,54,66,81.8,18.2,108540,0.94,53.1,Predominantly active NRI professional and employment community with high direct financial linkage to India.
24,Bosnia and Herzegovina,BIH,Europe,USD,100,600,700,85.7,14.3,3124500,27.03,64.6,Predominantly active NRI professional and employment community with high direct financial linkage to India.
25,Botswana,BWA,Africa,USD,3129,9371,12500,75.0,25.0,30128005,260.61,70.3,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
26,Brazil,BRA,Latin America & Caribbean,USD,3000,2987,5987,49.9,50.1,6109000,52.84,59.3,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
